year,month,registration_status,turnover_eur,num_taxpayers
2023.0,8.0,INDIVIDUAL,9322.04,3.0
2019.0,4.0,INDIVIDUAL,663.15,1.0
2021.0,12.0,KOOPERATIVA BUJQ.,0.0,1.0
2020.0,3.0,INDIVIDUAL,1341370.59,383.0
2019.0,9.0,SH.P.K.,6949.06,1.0
2024.0,4.0,SH.P.K.,21745.8,2.0
2025.0,3.0,SH.P.K.,17058.17,3.0
2025.0,7.0,SH.P.K.,19448.64,1.0
2019.0,5.0,SH.P.K.,55697.57,2.0
2024.0,6.0,INDIVIDUAL,5760.3,2.0
2023.0,4.0,INDIVIDUAL,9422.22,1.0
2023.0,2.0,SH.P.K.,83974.58,1.0
2022.0,3.0,INDIVIDUAL,18506.82,1.0
2025.0,4.0,SH.P.K.,52670.48,1.0
2025.0,1.0,SH.P.K.,15271.07,2.0
2022.0,2.0,NDËRMARRJE SHOQ.,2000.0,1.0
2022.0,3.0,INDIVIDUAL,0.0,2.0
2021.0,5.0,SH.P.K.,107950.37,2.0
2024.0,11.0,SH.P.K.,45924.83,9.0
2020.0,10.0,SH.P.K.,0.0,1.0
2024.0,5.0,SH.P.K.,304116.72,6.0
2020.0,10.0,INDIVIDUAL,0.0,1.0
2023.0,8.0,SH.P.K.,1834.58,3.0
2025.0,10.0,SH.P.K.,1951.05,1.0
2022.0,1.0,INDIVIDUAL,8022.08,1.0
2023.0,11.0,ORTAKËRIA E PËRGJ.,90495.05,1.0
2023.0,2.0,SH.P.K.,154596.64,6.0
2024.0,3.0,INDIVIDUAL,49673.06,26.0
2019.0,5.0,SH.P.K.,0.0,2.0
2023.0,2.0,SH.P.K.,38074.41,1.0
2019.0,7.0,INDIVIDUAL,3101.7,1.0
2023.0,12.0,INDIVIDUAL,7607.7,5.0
2022.0,7.0,INDIVIDUAL,21717.79,6.0
2020.0,12.0,SH.P.K.,95816.95,1.0
2024.0,5.0,SH.P.K.,0.0,1.0
2020.0,7.0,SH.P.K.,109191.08,8.0
2021.0,5.0,SH.P.K.,17985.89,2.0
2025.0,6.0,SH.P.K.,458.71,1.0
2020.0,12.0,SHOQËRI AKCIONARE,73970.65,1.0
2021.0,5.0,SH.P.K.,220103.13,2.0
2022.0,11.0,SH.P.K.,78470.61,4.0
2021.0,12.0,INDIVIDUAL,619201.07,1.0
2021.0,9.0,INDIVIDUAL,23580.82,13.0
2025.0,5.0,SHOQËRI AKCIONARE,1299651.79,1.0
2020.0,1.0,SH.P.K.,0.0,3.0
2025.0,5.0,INDIVIDUAL,660372.62,21.0
2021.0,6.0,INDIVIDUAL,9579.86,2.0
2019.0,8.0,INDIVIDUAL,13124.13,2.0
2021.0,1.0,INDIVIDUAL,53498.11,6.0
2020.0,4.0,SH.P.K.,56819.11,1.0
2023.0,1.0,SH.P.K.,17626.0,2.0
2022.0,8.0,SH.P.K.,16956.61,3.0
2022.0,5.0,INDIVIDUAL,30084.75,3.0
2021.0,9.0,INDIVIDUAL,186522.1,7.0
2023.0,1.0,INDIVIDUAL,56711.8,5.0
2020.0,6.0,SH.P.K.,352502.55,9.0
2021.0,9.0,INDIVIDUAL,17480.0,1.0
2022.0,9.0,SH.P.K.,1540.0,6.0
2020.0,11.0,SH.P.K.,3329.91,1.0
2022.0,11.0,SH.P.K.,450508.88,2.0
2022.0,2.0,SH.P.K.,3759.0,1.0
2021.0,8.0,SH.P.K.,6587.74,1.0
2020.0,1.0,SHOQËRI AKCIONARE,171587.0,1.0
2019.0,10.0,OJQ,0.0,1.0
2025.0,10.0,ORTAKËRIA E PËRGJ.,30073.4,1.0
2023.0,1.0,INDIVIDUAL,34204.94,1.0
2022.0,4.0,SH.P.K.,0.0,2.0
2019.0,6.0,SH.P.K.,2503.0,1.0
2023.0,6.0,INDIVIDUAL,696.0,1.0
2024.0,1.0,SH.P.K.,97712.62,7.0
2023.0,5.0,INDIVIDUAL,20956.71,2.0
2019.0,2.0,SH.P.K.,1096.57,2.0
2022.0,1.0,INDIVIDUAL,32922.79,2.0
2019.0,12.0,INDIVIDUAL,60529.1,3.0
2020.0,5.0,SH.P.K.,159944.31,5.0
2020.0,9.0,INDIVIDUAL,15887.06,5.0
2021.0,7.0,SH.P.K.,3925.0,1.0
2020.0,12.0,INDIVIDUAL,587350.77,201.0
2020.0,11.0,KOMPANI E HUAJ,5168.5,1.0
2020.0,8.0,INDIVIDUAL,4696.85,1.0
2024.0,7.0,SH.P.K.,0.0,1.0
2019.0,7.0,SH.P.K.,642.28,1.0
2021.0,8.0,INDIVIDUAL,305787.13,2.0
2025.0,1.0,SH.P.K.,8802.73,2.0
2024.0,4.0,SH.P.K.,104004.92,8.0
2023.0,5.0,ORTAKËRIA E PËRGJ.,13481.26,1.0
2024.0,6.0,INDIVIDUAL,700.0,2.0
2022.0,7.0,SH.P.K.,0.0,1.0
2023.0,8.0,SH.P.K.,69462.38,4.0
2023.0,5.0,INDIVIDUAL,19836.82,3.0
2022.0,12.0,SH.P.K.,0.0,1.0
2019.0,5.0,SH.P.K.,5929.83,1.0
2023.0,7.0,SH.P.K.,0.0,4.0
2023.0,4.0,INDIVIDUAL,0.0,1.0
2022.0,3.0,SH.P.K.,35848.31,3.0
2025.0,4.0,INDIVIDUAL,1016.95,1.0
2025.0,5.0,SH.P.K.,917.91,1.0
2020.0,9.0,INDIVIDUAL,7008.64,2.0
2020.0,5.0,SH.P.K.,4951813.86,2.0
2024.0,7.0,SH.P.K.,-680.0,1.0
2024.0,12.0,INDIVIDUAL,2397.0,1.0
2020.0,9.0,SH.P.K.,1035429.69,31.0
2022.0,1.0,INDIVIDUAL,15025.76,2.0
2020.0,3.0,INDIVIDUAL,6182.69,4.0
2021.0,3.0,SH.P.K.,2158653.67,3.0
2020.0,4.0,KOMPANI E HUAJ,2133313.56,1.0
2023.0,9.0,INDIVIDUAL,7940.9,1.0
2021.0,9.0,KOMPANI E HUAJ,0.0,1.0
2023.0,2.0,INDIVIDUAL,216232.6,1.0
2020.0,9.0,NDËRMARRJE SHOQ.,0.0,1.0
2025.0,6.0,INDIVIDUAL,1825.0,2.0
2025.0,5.0,SH.P.K.,91000.0,1.0
2023.0,6.0,INDIVIDUAL,2200.0,1.0
2024.0,4.0,SH.P.K.,1302941.6,55.0
2025.0,8.0,SH.P.K.,244733.03,7.0
2020.0,5.0,SH.P.K.,16026.09,2.0
2023.0,5.0,SH.P.K.,12.71,2.0
2022.0,5.0,INDIVIDUAL,8110.66,2.0
2019.0,5.0,INDIVIDUAL,13639.62,3.0
2019.0,7.0,INDIVIDUAL,5025.25,1.0
2022.0,2.0,SH.P.K.,18004.79,1.0
2019.0,3.0,SH.P.K.,25848.21,1.0
2023.0,12.0,INDIVIDUAL,48517.66,4.0
2022.0,4.0,SH.P.K.,7002.37,2.0
2021.0,7.0,SHOQËRI AKCIONARE,33292.95,1.0
2021.0,7.0,INDIVIDUAL,17568.97,2.0
2020.0,6.0,SH.P.K.,3389.85,1.0
2020.0,2.0,SH.P.K.,994.91,2.0
2022.0,4.0,INDIVIDUAL,19034.94,1.0
2023.0,10.0,INDIVIDUAL,154.24,4.0
2022.0,5.0,ORTAKËRIA E PËRGJ.,2566.95,1.0
2021.0,1.0,SH.P.K.,92407.08,6.0
2023.0,9.0,INDIVIDUAL,32924.57,16.0
2019.0,6.0,SH.P.K.,9121.06,3.0
2019.0,6.0,SH.P.K.,863612.98,3.0
2022.0,1.0,SH.P.K.,0.0,2.0
2019.0,6.0,SH.P.K.,23586.0,2.0
2021.0,7.0,INDIVIDUAL,1677.87,1.0
2025.0,8.0,INDIVIDUAL,105703.0,3.0
2022.0,7.0,SH.P.K.,10115.34,1.0
2025.0,11.0,SH.P.K.,2686.65,1.0
2025.0,4.0,SH.P.K.,47191.22,3.0
2023.0,3.0,INDIVIDUAL,7879.55,8.0
2021.0,6.0,SH.P.K.,243396.09,1.0
2022.0,2.0,SHOQËRI AKCIONARE,0.0,1.0
2025.0,4.0,SH.P.K.,82448.21,10.0
2025.0,3.0,SH.P.K.,5339.72,12.0
